model,mode,vmsize,time_ms,status
mbv2-im100-vm96-dupnas_w0.25_ir96,dupnas,96,3032,ok
mbv2-im100-vm96-nots_w0.25_ir32,nots,96,2862,ok
mbv2-im100-vm96-patchts_w0.25_ir64,patchts,96,3118,ok
mbv2-im100-vm96-tinyts_w0.25_ir64,tinyts,96,3120,ok
mbv2-im100-vm128-dupnas_w0.25_ir128,dupnas,128,3141,ok
mbv2-im100-vm128-nots_w0.25_ir32,nots,128,2916,ok
mbv2-im100-vm128-patchts_w0.25_ir96,patchts,128,3132,ok
mbv2-im100-vm128-tinyts_w0.25_ir96,tinyts,128,3355,ok
mbv2-im100-vm256-dupnas_w0.25_ir128,dupnas,256,3216,ok
mbv2-im100-vm256-nots_w0.25_ir64,nots,256,2921,ok
mbv2-im100-vm256-patchts_w0.25_ir128,patchts,256,2716,ok
mbv2-im100-vm256-tinyts_w0.25_ir128,tinyts,256,2984,ok
