wm,ir,name,cpb,max_features,flops_sum
0.5,32,shuffle-im100-vm96-nots,"[[1, 7, 3], [2, 5, 2], [1, 5, 3]]",548064,45575104
0.5,64,shuffle-im100-vm128-nots,"[[1, 5, 3], [2, 3, 3], [1, 7, 3]]",828768,231001024
0.5,96,shuffle-im100-vm96-tinyts,"[[2, 5, 2], [1, 3, 3], [2, 7, 2]]",696832,203490240
0.5,96,shuffle-im100-vm96-patchts,"[[2, 7, 2], [2, 3, 2], [1, 7, 3]]",843328,191325120
0.5,96,shuffle-im100-vm128-tinyts,"[[1, 5, 3], [2, 7, 1], [1, 3, 3]]",313440,263154624
0.5,96,shuffle-im100-vm128-patchts,"[[2, 5, 2], [1, 3, 2], [2, 5, 3]]",539776,150295488
0.5,96,shuffle-im100-vm256-nots,"[[1, 5, 3], [2, 5, 2], [1, 7, 3]]",859104,553348032
0.5,128,shuffle-im100-vm96-dupnas,"[[2, 5, 3], [1, 7, 2], [2, 3, 3]]",382624,275925952
0.5,128,shuffle-im100-vm128-dupnas,"[[2, 5, 2], [1, 5, 3], [2, 3, 3]]",352768,245156800
0.5,128,shuffle-im100-vm256-patchts,"[[2, 5, 2], [1, 1, 2], [1, 7, 3]]",792832,832621504
0.8,96,shuffle-im100-vm256-dupnas,"[[1, 7, 3], [2, 3, 2], [1, 3, 3]]",687872,598612612
0.8,96,shuffle-im100-vm256-tinyts,"[[1, 7, 3], [2, 3, 2], [1, 3, 3]]",687872,598612612
