model_name,accuracy
incept-im100-vm128-DupNAS-MC-0_w0.5_ir128_split,58.24
incept-im100-vm128-DupNAS-MC-10_w0.5_ir128_split,59.36
incept-im100-vm128-DupNAS-MC-44_w0.5_ir128_split,58.88
incept-im100-vm128-dupnas_w0.5_ir128_split,64.16
incept-im100-vm96-DupNAS-MC-2_w0.75_ir96_split,59.84
incept-im100-vm96-DupNAS-MC-8_w0.75_ir96_split,55.44
incept-im100-vm96-dupnas_w0.75_ir96_split,61.84
incept-vm128-DupNAS-LC3N_w0.5_ir128_split,61.2
incept-vm128-DupNAS-LCN_w0.5_ir128_split,61.04
mbv2-im100-vm128-dupnas-MC-127_w0.25_ir128_split,59.6
mbv2-im100-vm128-dupnas-MC-132_w0.25_ir128_split,60.32
mbv2-im100-vm128-dupnas-MC-49_w0.25_ir128_split,61.28
mbv2-im100-vm128-dupnas-MC-50_w0.25_ir128_split,61.68
mbv2-im100-vm128-dupnas-MC-87_w0.25_ir128_split,60.56
mbv2-im100-vm128-dupnas-MC-96_w0.25_ir128_split,60.72
mbv2-im100-vm128-dupnas_w0.25_ir128_split,62.08
mbv2-im100-vm96-dupnas-MC-31_w0.25_ir96_split,58
mbv2-im100-vm96-dupnas-MC-50_w0.25_ir96_split,57.68
mbv2-im100-vm96-dupnas_w0.25_ir96_split,58.4
shuffle-im100-vm128-DupNAS-MC-18_w0.5_ir128_split,60.4
shuffle-im100-vm128-DupNAS-MC-23_w0.5_ir128_split,59.12
shuffle-im100-vm128-DupNAS-MC-37_w0.5_ir128_split,60.72
shuffle-im100-vm128-DupNAS-MC-9_w0.5_ir128_split,61.6
shuffle-im100-vm128-dupnas_w0.5_ir128_split,62.96
shuffle-im100-vm96-DupNAS-MC-13_w0.5_ir128_split,55.6
shuffle-im100-vm96-DupNAS-MC-14_w0.5_ir128_split,59.28
shuffle-im100-vm96-DupNAS-MC-6_w0.5_ir128_split,61.2
shuffle-im100-vm96-DupNAS-MC-8_w0.5_ir128_split,58.96
shuffle-im100-vm96-dupnas_w0.5_ir128_split,61.36
